Price,Close,High,Low,Open,Volume
02-01-2020,107.7029419,109.1751054,106.9804037,109.1480114,345700
03-01-2020,107.3055191,107.901614,106.1855913,106.1855913,292300
06-01-2020,107.0436096,107.5132615,106.4113939,106.9532941,399100
07-01-2020,107.3416748,108.2448441,106.3301296,106.3301296,412200
08-01-2020,107.2332993,108.5067644,106.8268689,106.9171845,279200
09-01-2020,108.1003418,108.2177513,106.9984741,107.6577839,397800
10-01-2020,106.5920029,108.1183607,106.4745934,108.0370788,327000
13-01-2020,108.8499527,109.7621556,107.2694065,107.7571188,503600
14-01-2020,109.5002213,109.5363488,108.3351323,108.6602737,416800
15-01-2020,109.5905457,109.9247207,108.7957593,108.904142,425000
16-01-2020,109.1389694,110.1685887,108.5519149,110.1685887,343700
17-01-2020,109.7350616,110.2408342,109.2112218,109.7982832,382400
21-01-2020,105.6256485,108.4977272,104.8489223,108.0822701,752600
22-01-2020,106.0410995,106.8178187,105.770146,106.0591599,395000
23-01-2020,106.6281433,106.9894123,103.7018773,105.3185509,373400
24-01-2020,105.4359665,106.5920219,104.3882938,106.5920219,267600
27-01-2020,103.846405,104.939239,103.25031,103.6115791,334300
28-01-2020,104.5237885,105.4992061,103.6477131,104.7044196,283200
29-01-2020,103.6567459,105.1198828,103.602558,104.3341229,318600
30-01-2020,106.2578735,106.2849675,102.9251765,103.1058145,292700
31-01-2020,103.683815,105.5262739,103.503177,105.3004816,735400
03-02-2020,104.8940811,105.4811425,103.7199583,104.1625162,325900
04-02-2020,105.4088898,106.6913885,105.1740638,106.6913885,280900
05-02-2020,107.4590836,107.7842182,105.8333761,106.4023703,329000
06-02-2020,107.106842,108.407408,106.6552574,108.2448373,534100
07-02-2020,104.8218155,106.754597,104.5328016,106.4384892,330100
10-02-2020,105.2282333,105.8243214,104.3160306,104.3160306,310000
11-02-2020,106.4114075,107.5584295,105.8424133,105.8424133,452700
12-02-2020,105.6437073,107.4681061,105.390821,107.3958578,278000
13-02-2020,105.1108322,105.8785316,104.8940735,105.1198658,195300
14-02-2020,104.8127975,105.3546977,104.1625146,105.0837442,405500
18-02-2020,104.7856827,105.5895096,104.1083058,104.5598904,365500
19-02-2020,105.8514328,106.3752726,105.0566463,105.2282507,681700
20-02-2020,98.80671692,107.3506972,95.74497373,106.1404468,1423800
21-02-2020,100.2066116,101.127848,97.35260078,97.96675606,887600
24-02-2020,98.21965027,99.0234703,96.44040585,96.73845334,485600
25-02-2020,97.05458832,99.62861987,96.35915087,98.49965806,574400
26-02-2020,98.10225677,99.21315121,97.3977789,97.75002128,763500
27-02-2020,94.37214661,97.51517842,94.1824819,95.97075993,653600
28-02-2020,92.38519287,93.21610701,89.7660004,91.03947248,940500
02-03-2020,95.52820587,95.64562228,91.56329353,92.87289304,1159800
03-03-2020,95.17598724,98.84285963,94.62505337,95.52822275,618200
04-03-2020,98.18351746,98.38221577,94.83276074,96.62103869,501400
05-03-2020,95.08566284,96.55783321,94.54376264,95.51918714,512200
06-03-2020,92.75548553,94.20958868,91.51814799,92.2406793,700700
09-03-2020,85.12369537,89.59438007,84.98821862,89.59438007,664000
10-03-2020,89.40470886,89.6937227,85.56624012,87.6254646,761900
11-03-2020,86.23461151,88.60091077,85.00630066,86.93908249,607800
12-03-2020,78.22979736,83.93907121,72.82052792,80.72078481,774600
13-03-2020,81.74808502,83.14813093,77.36612603,83.0572203,1031400
16-03-2020,73.24782562,79.08437655,68.66585827,72.27506713,953600
17-03-2020,75.86607361,77.59340328,71.56593919,74.71149407,1023500
18-03-2020,69.07494354,72.9659762,68.2021822,71.14773612,961100
19-03-2020,71.20228577,74.91149743,66.37486027,68.31128358,884600
20-03-2020,67.64763641,73.24781316,66.9021512,71.33866215,1030300
23-03-2020,64.92936707,68.40220617,64.15661623,67.24762649,875700
24-03-2020,75.28422546,75.7751511,67.14760419,67.50216043,867700
25-03-2020,75.79336548,81.41172947,73.09327695,75.37517095,1027700
26-03-2020,83.23905182,83.72088446,76.1297314,76.63884348,960600
27-03-2020,75.83881378,80.96625172,75.49335056,80.23895964,717200
30-03-2020,80.61170197,81.14808659,74.32968378,76.26610768,581400
31-03-2020,79.62982941,82.98448493,78.67525743,81.00260275,654100
01-04-2020,75.57517242,78.32071977,74.2114919,76.34793027,632500
02-04-2020,75.93881989,77.57523925,72.73871938,75.93881989,512100
03-04-2020,72.5114212,76.29335722,71.11137542,74.67512455,423500
06-04-2020,76.65701294,77.33885307,75.55697836,76.12972157,1102600
07-04-2020,77.43887329,80.83898153,77.41160079,79.30257282,383700
08-04-2020,79.73892212,81.53898295,76.63882622,78.44797326,347100
09-04-2020,81.67536163,84.18453552,80.91170394,81.82082421,407400
13-04-2020,79.27526855,81.82080756,78.92980542,81.16623999,343300
14-04-2020,80.6571579,82.64813367,79.42075368,81.30263251,303700
15-04-2020,75.3842392,78.0025096,74.64785411,77.347942,581900
16-04-2020,75.18425751,76.05701923,72.7841801,75.61154522,1004100
17-04-2020,80.06623077,80.42988031,77.55705661,77.55705661,451000
20-04-2020,77.31158447,79.82984443,76.98430064,77.6934133,395900
21-04-2020,75.90245819,77.01158616,74.42059448,75.1388004,367800
22-04-2020,76.21154785,78.18433702,75.13878574,77.52976936,523700
23-04-2020,78.10253143,82.24811795,77.28432174,77.39341174,535500
24-04-2020,79.20256042,80.89352468,77.91160437,80.89352468,522600
27-04-2020,82.02084351,82.8754189,78.54800386,79.76622186,369200
28-04-2020,81.32989502,83.63906124,80.19349473,82.84812414,442800
29-04-2020,86.31188965,87.53010761,82.90268828,82.90268828,406600
30-04-2020,81.43897247,85.51182625,81.16623369,84.95726249,862400
01-05-2020,79.77529144,82.18446118,78.82071253,79.51164577,385500
04-05-2020,79.44801331,80.39349914,78.36615805,79.12982262,398400
05-05-2020,79.16619873,81.72991774,79.09346744,80.82989057,397300
06-05-2020,78.74799347,80.21167753,77.92978391,79.77529679,358300
07-05-2020,80.77532959,82.02082678,80.38440762,80.38440762,288200
08-05-2020,84.43003082,84.61185216,82.19359503,82.42087517,456700
11-05-2020,83.02994537,83.56632294,81.28443634,82.1935565,564900
12-05-2020,79.08437347,83.25723929,79.08437347,83.25723929,429300
13-05-2020,75.47517395,78.18435584,75.01152753,76.48429817,460400
14-05-2020,77.75704193,77.93887011,72.91143008,74.00237837,395400
15-05-2020,79.59348297,79.84803554,76.17518879,77.42068607,307000
18-05-2020,84.97545624,85.48456127,82.32991344,83.01175351,445400
19-05-2020,83.11178589,85.71187081,83.01178209,84.43001464,330000
20-05-2020,83.00269318,84.77547514,82.73904743,83.52089151,413100
21-05-2020,82.9845047,84.111812,82.75722461,82.92086655,366700
22-05-2020,83.14813995,83.60270009,81.45717568,83.02086367,149600
26-05-2020,85.58457184,86.92097959,85.14819804,86.36641574,280500
27-05-2020,89.77561188,89.88470879,86.71187458,87.21189342,502800
28-05-2020,89.36849976,90.85980206,88.56338065,90.85980206,415000
29-05-2020,88.74633026,88.97505792,86.6237379,88.69143786,542600
01-06-2020,89.62466431,90.03637837,88.18825458,89.048273,397400
02-06-2020,90.15530396,90.841487,89.42337258,90.841487,387900
03-06-2020,91.62833405,93.64113537,90.95130189,91.26236827,880300
04-06-2020,92.49746704,92.56151051,90.27423384,91.1068059,445000
05-06-2020,93.24771881,96.7792755,93.11963184,94.94030261,456900
08-06-2020,93.43982697,95.41603742,92.81768741,94.33644252,326800
09-06-2020,92.470047,92.62558018,90.39320227,91.69237411,429200
10-06-2020,93.24771881,94.51944442,92.32366381,92.47004593,635600
11-06-2020,83.88816833,90.5578685,83.67773579,89.87168544,399900
12-06-2020,85.22395325,88.01442735,83.48562111,86.29439734,491800
15-06-2020,85.82778168,86.6237566,82.21388674,82.21388674,505100
16-06-2020,88.79209137,91.2074552,88.06015998,89.52401578,422000
17-06-2020,87.81315613,89.06657966,87.49293171,88.50848342,291400
18-06-2020,87.35569,87.92293026,86.49567158,86.77929171,377900
19-06-2020,87.60270691,88.81038886,86.19374347,88.11505471,1114100
22-06-2020,88.06017303,88.27060561,86.3035458,87.59356653,336500
23-06-2020,87.26418304,89.75274135,87.2184417,89.46912126,256100
24-06-2020,83.31178284,86.24864594,83.16540073,86.0839617,513500
25-06-2020,84.98606873,85.05011221,82.34197691,83.35752852,293600
26-06-2020,82.71710205,84.00712286,81.97601944,84.00712286,599600
29-06-2020,84.98606873,85.87353337,83.75094047,83.75094047,520800
30-06-2020,86.85250854,87.11783359,84.52863358,84.52863358,419600
01-07-2020,85.05927277,87.40144258,84.43713304,87.40144258,321900
02-07-2020,86.32182312,87.84972231,85.39776136,86.95311374,326800
06-07-2020,87.06291962,88.16080984,85.49841592,88.12421257,279100
07-07-2020,85.87354279,87.12697331,85.11416502,85.81865036,390700
08-07-2020,84.26329041,86.44078276,83.9705192,86.29439367,373100
09-07-2020,82.23217773,85.12329913,81.77472235,84.95861491,434400
10-07-2020,84.59265137,84.67499697,82.2413309,82.2413309,248800
13-07-2020,83.47649384,86.0108017,83.37585305,86.0108017,396200
14-07-2020,85.90097809,85.91012915,82.35112655,83.00986347,604300
15-07-2020,87.00802612,87.68505824,85.82779021,87.51122992,284000
16-07-2020,86.51394653,86.96225777,86.01989396,86.5505438,220500
17-07-2020,86.13884735,87.05375809,85.86437134,86.6877924,231800
20-07-2020,85.89183807,86.50483372,85.64481519,86.0016299,254400
21-07-2020,87.25506592,88.2706177,86.20291686,86.20291686,377300
22-07-2020,88.28890228,88.44443546,86.43163426,86.5414191,313100
23-07-2020,92.24131775,97.95035988,91.71066775,92.87260851,760400
24-07-2020,93.73259735,93.74174841,90.65849688,92.17725197,575600
27-07-2020,94.65667725,94.757318,92.50663811,93.63197456,412800
28-07-2020,91.71981049,93.83325226,91.56427732,93.83325226,251200
29-07-2020,93.10133362,93.284313,91.57342714,92.39684833,232600
30-07-2020,91.08853149,92.14983154,90.35660693,91.52769182,283000
31-07-2020,89.89913177,91.06106535,89.02996238,91.06106535,346300
03-08-2020,92.48833466,93.16537371,90.00892709,90.77745583,468000
04-08-2020,93.3849411,94.72986104,92.42428201,94.5468747,245600
05-08-2020,94.04367828,95.85519769,93.87899407,95.02263252,188600
06-08-2020,93.59538269,94.18092508,93.23856802,93.60452677,338600
07-08-2020,95.27881622,95.42520531,92.0217358,92.96409287,268200
10-08-2020,97.56610107,97.82227502,95.77287649,95.86436618,267000
11-08-2020,97.91375732,100.1186959,97.50205023,98.57249426,469500
12-08-2020,98.2980423,99.02996693,97.40142643,98.93847722,260000
13-08-2020,97.23511505,98.0817564,96.77498297,97.68604253,188800
14-08-2020,97.84248352,98.9376001,96.61853052,96.78417835,279700
